sample,code,treatment,week,Acari,Araneae,Coleoptera,Collembola,Diplopoda,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Pseudoscorpiones,Trichoptera,Speciesrichness
S.47,C-4C-Div,Control,1,0,0,0,0,1,0,0,0,0,0,0,1
S.20,C-7A-Div,Control,4,0,0,1,0,0,0,0,0,0,0,0,1
S.3,C-6c-Div,Control,4,0,0,1,0,0,0,0,0,0,0,0,1
S.33,I-10c-Div,Ivermectin,1,0,0,0,1,0,0,0,1,0,0,0,2
S.34,I-8B-Div,Ivermectin,1,0,0,0,0,0,0,0,1,0,0,0,1
S.15,I-3A-Div,Ivermectin,4,0,0,1,0,0,0,0,0,0,0,0,1
S.17,I-9A-Div,Ivermectin,4,0,0,1,1,0,0,0,0,0,0,0,2
S.21,I-4B-Div,Ivermectin,4,0,0,1,0,0,0,0,0,0,0,0,1
S.22,I-5C-Div,Ivermectin,4,0,0,1,0,0,0,0,0,0,0,0,1
S.9,I-6A-Div,Ivermectin,4,0,0,1,0,0,0,0,0,0,0,0,1
S.51,I-16C-Div,Ivermectin,11,0,0,1,0,0,1,0,0,0,0,0,2
S.35,P-3B-Div,Pyrantel,1,0,0,0,0,0,0,1,0,1,0,0,2
S.37,P-13C-Div,Pyrantel,1,0,0,1,0,0,0,0,0,0,0,0,1
S.40,P-7B-Div,Pyrantel,1,0,0,0,0,0,1,0,1,0,0,0,2
S.41,P-2A-Div,Pyrantel,1,0,0,1,0,0,1,0,0,0,0,0,2
S.42,P-10B-Div,Pyrantel,1,0,0,1,0,0,0,0,1,0,0,0,2
S.45,P-15B-Div,Pyrantel,1,0,0,0,0,0,0,0,1,0,0,0,1
S.11,P-16A-Div,Pyrantel,4,0,0,1,1,0,0,1,0,0,0,0,3
S.12,P-2c-Div,Pyrantel,4,0,0,1,0,0,0,0,1,1,0,1,4
S.14,P-9c-Div,Pyrantel,4,1,1,1,0,0,1,0,1,0,1,0,6
S.16,P-7B-Div,Pyrantel,4,1,0,1,0,0,1,0,0,0,0,0,3
S.18,P-2A-Div,Pyrantel,4,0,0,1,0,0,1,0,1,0,0,0,3
S.19,P-12B-Div,Pyrantel,4,1,0,1,0,0,1,0,0,0,0,0,3
S.24,P15B-Div,Pyrantel,4,0,0,1,1,0,0,0,0,0,0,0,2